"SESSION_ID","MC","SDC","NC","MI","SDI","NI","study_name","SDPooled","StroopEffect"
7425142,819.333333333333,118.78692408398,21,958.968641114983,253.921029085113,42,"cebersole.nova",219.003634828134,0.637593562733467
7425169,556.571428571429,167.385952644949,21,603.166666666667,212.287875952497,42,"cebersole.michst",198.687206853026,0.234515542461201
7425257,549,94.530947313565,21,655.407665505227,191.887477296542,42,"cebersole.montana",166.367899728897,0.639592527636772
7425297,551.248120300752,197.69273645006,21,594.146428571429,364.349338554671,42,"cebersole.michst",319.436399724771,0.134293738307964
7425414,657.321428571429,243.401200988937,21,748.404761904762,184.482540587583,42,"cebersole.montana",205.668403014266,0.442864980708851
7425423,563,91.3635594753182,21,586.571428571429,163.517156981088,42,"cebersole.virginia",143.90333081019,0.163800437687711
7425428,688.047619047619,131.924780155389,21,877.236933797909,373.655197581537,42,"cebersole.virginia",315.512318905496,0.59962576233658
7425495,532.071428571429,390.32436145193,21,590.38961038961,263.254545964278,42,"cebersole.michst",310.696819636393,0.187701251291955
7425499,544.471428571429,144.456384915507,21,613.619047619048,156.803116006394,42,"cebersole.ithaca",152.864927391936,0.452344564756369
7425502,571.238095238095,180.118545619796,21,596.169172932331,226.680398011103,42,"cebersole.ithaca",212.541140706621,0.117300008889333
7425508,622.521428571429,244.310058415238,21,542.671428571429,219.257943967901,42,"cebersole.nova",227.775557439214,-0.350564392851105
7425568,758.571428571429,339.442126352722,21,715.519841269841,298.484554910196,42,"cebersole.michst",312.505301021914,-0.137762742458466
7425579,733.904761904762,210.147544539998,21,827.575091575092,280.086181871652,42,"cebersole.virginia",259.242871436111,0.361322682284107
7425581,529.171428571429,278.490748756322,21,503.919860627178,126.12654153122,42,"cebersole.toronto",190.054609342875,-0.132864801498684
7425593,567.300751879699,203.500257707989,21,684.969111969112,340.636616155601,42,"cebersole.virginia",302.60108926396,0.388856366563738
7425623,572.333333333333,78.6551545248837,21,772.833333333333,579.366471354773,42,"cebersole.nova",477.115968650163,0.420233262297312
7425641,553.714285714286,69.0833864667496,21,702.578397212544,186.655222740821,42,"cebersole.sdsu",158.056710353176,0.941839869788651
7425642,541.52380952381,75.9859322819817,21,666.357142857143,335.099972081763,42,"cebersole.sdsu",278.151064067428,0.448796892982843
7425644,1159.2380952381,762.077483249696,21,1234.60073260073,1080.15083159437,42,"cebersole.sdsu",987.221638611243,0.0763381133629246
7425652,786.714285714286,585.688666687101,21,701.216117216117,255.996194579954,42,"cebersole.virginia",395.621950752093,-0.216110780343793
7425676,719.619047619048,313.389450395267,21,734.119047619048,248.023032209486,42,"cebersole.virginia",271.196237616645,0.053466818446415
7425709,559.521428571429,307.375348137838,21,560.071428571429,181.241940827675,42,"cebersole.michst",230.337826686826,0.00238779712351697
7425756,512.333333333333,96.0881539698486,21,623.04181184669,316.157267611416,42,"cebersole.nova",264.972340006225,0.417811453492677
7425759,624.921428571429,367.55473693432,21,639.738095238095,341.353122328056,42,"cebersole.vcu",350.159912225238,0.0423140004020103
7425768,446,51.3283547369288,21,510.696428571429,157.672449974104,42,"cebersole.virginia",132.564655472573,0.488036787338189
7425771,604.380952380952,196.342679056408,21,609.52380952381,201.315660976088,42,"cebersole.virginia",199.698820846842,0.0257530671490614
7425774,497.761904761905,52.2426116899842,21,671.432055749129,228.857698537748,42,"cebersole.virginia",189.99549187506,0.914075114484448
7425793,639.190476190476,189.046189871052,21,804.59022556391,324.484000792928,42,"cebersole.sdsu",287.203982337145,0.575896434399969
7425795,617.047619047619,411.156111007787,21,688.797909407666,224.530014036421,42,"cebersole.sdsu",298.84887808005,0.240088873081958
7425838,622.321428571429,302.508255495378,21,627.738095238095,183.846975010941,42,"cebersole.michst",229.61168259765,0.0235905534308474
7425891,859.353383458647,303.956224588616,21,899.675958188153,290.135558204753,42,"cebersole.nova",294.738340662609,0.136808040103831
7426023,674.714285714286,229.961549581043,21,700.318681318681,365.370271100456,42,"cebersole.nova",327.207737715613,0.078251192294998
7426064,697.666666666667,389.017266112101,21,700.671428571429,283.347751768133,42,"cebersole.michst",321.839297857781,0.00933621818330507
7426120,694.333333333333,535.165332708812,21,602.84668989547,189.431799233182,42,"cebersole.mississippi",343.542283546768,-0.266303881121546
7426251,702.714285714286,277.960454535738,21,818.896428571429,311.619650148839,42,"cebersole.michst",300.998865703123,0.385988640142365
7426368,558.904761904762,308.963574675382,21,493.690476190476,90.7979499325994,42,"cebersole.michst",191.935131874744,-0.339772531882513
7426624,707.857142857143,332.118395412583,21,713.221804511278,243.671305296206,42,"cebersole.montana",275.813446023344,0.0194503267751537
7427617,699.095238095238,172.903702899014,21,740.334494773519,223.767653554437,42,"cebersole.nova",208.462926034839,0.197825375776358
7427703,541.321428571429,153.523759212889,21,585.619047619048,156.839509765432,42,"cebersole.michst",155.760155978595,0.284396344940144
7427759,626.47619047619,221.050134369473,21,737.703296703297,221.253095322442,42,"cebersole.psuabington",221.186571268316,0.502865547349072
7427773,560.952380952381,88.4378178102989,21,635.380952380952,201.137248661383,42,"cebersole.michst",172.499886298031,0.431470263696173
7427800,659.671428571429,214.830507942557,21,754.59022556391,373.944646275224,42,"cebersole.psuabington",330.331713075105,0.28734388263503
7427965,754.714285714286,526.625117408688,21,734.113553113553,389.51910873176,42,"cebersole.michst",439.213359117592,-0.0469037022055086
7428043,530.809523809524,90.1568738630722,21,709.809523809524,254.024603964419,42,"cebersole.michst",214.561455688059,0.834259813469199
7428064,713.952380952381,164.689549210166,21,829.047619047619,191.83249201893,42,"cebersole.montana",183.376386967962,0.627644812935192
7428111,717.428571428571,83.8913412865544,21,723.642857142857,147.853061769327,42,"cebersole.carleton",130.386360653622,0.0476605504067577
7428114,1088.80952380952,588.991818198489,21,1117.69047619048,318.836489029021,42,"cebersole.ithaca",426.694350896108,0.0676853403854513
7428289,655.821428571429,205.662210050503,21,822.241758241758,355.022032075729,42,"cebersole.michst",313.980402084545,0.530034131319821
