"type","analysis","measure","digit","prop"
"Fabricated w/o RNG","terminal","Mean incongruent","4",0.115555555555556
"Fabricated w/o RNG","terminal","Mean incongruent","5",0.115555555555556
"Fabricated w/o RNG","terminal","Mean incongruent","6",0.0755555555555556
"Fabricated w/o RNG","terminal","Mean incongruent","7",0.0711111111111111
"Fabricated w/o RNG","terminal","Mean incongruent","8",0.111111111111111
"Fabricated w/o RNG","terminal","Mean incongruent","9",0.0755555555555556
"Fabricated w/o RNG","terminal","SD congruent","0",0.0711111111111111
"Fabricated w/o RNG","terminal","SD congruent","1",0.124444444444444
"Fabricated w/o RNG","terminal","SD congruent","2",0.111111111111111
"Fabricated w/o RNG","terminal","SD congruent","3",0.12
"Fabricated w/o RNG","terminal","SD congruent","4",0.0711111111111111
"Fabricated w/o RNG","terminal","SD congruent","5",0.128888888888889
"Fabricated w/o RNG","terminal","SD congruent","6",0.115555555555556
"Fabricated w/o RNG","terminal","SD congruent","7",0.0755555555555556
"Fabricated w/o RNG","terminal","SD congruent","8",0.111111111111111
"Fabricated w/o RNG","terminal","SD congruent","9",0.0711111111111111
"Fabricated w/o RNG","terminal","SD incongruent","0",0.102222222222222
"Fabricated w/o RNG","terminal","SD incongruent","1",0.115555555555556
"Fabricated w/o RNG","terminal","SD incongruent","2",0.0933333333333333
"Fabricated w/o RNG","terminal","SD incongruent","3",0.106666666666667
"Fabricated w/o RNG","terminal","SD incongruent","4",0.106666666666667
"Fabricated w/o RNG","terminal","SD incongruent","5",0.0533333333333333
"Fabricated w/o RNG","terminal","SD incongruent","6",0.106666666666667
"Fabricated w/o RNG","terminal","SD incongruent","7",0.128888888888889
"Fabricated w/o RNG","terminal","SD incongruent","8",0.0977777777777778
"Fabricated w/o RNG","terminal","SD incongruent","9",0.0888888888888889
"Genuine","benford","Mean congruent","1",0.028169014084507
"Genuine","benford","Mean congruent","2",0.000599340725202278
"Genuine","benford","Mean congruent","3",0.000299670362601139
"Genuine","benford","Mean congruent","4",0.0830086904405154
"Genuine","benford","Mean congruent","5",0.406952352412346
"Genuine","benford","Mean congruent","6",0.296973329337729
"Genuine","benford","Mean congruent","7",0.118070122864849
"Genuine","benford","Mean congruent","8",0.0464489062031765
"Genuine","benford","Mean congruent","9",0.019478573569074
"Genuine","benford","Mean incongruent","1",0.0506442912795924
"Genuine","benford","Mean incongruent","2",0.00119868145040456
"Genuine","benford","Mean incongruent","3",0.000299670362601139
"Genuine","benford","Mean incongruent","4",0.0218759364698831
"Genuine","benford","Mean incongruent","5",0.255019478573569
"Genuine","benford","Mean incongruent","6",0.338627509739287
