"referrer","partgender","anchoring","anch_n","anch_m","anch_sd","study"
"pi      ",0,1,219,3020751.02283105,1129599.20753495,2
"pi      ",1,1,374,2876684.30748663,1248504.37299341,2
"psu     ",0,0,10,690664,582446.609917548,2
"psu     ",1,0,35,634333.2,596637.692058727,2
"psu     ",0,1,6,2875115,1464308.22552835,2
"psu     ",1,1,34,2877877.79411765,1307223.70962224,2
"qccuny  ",0,0,6,1366666.66666667,1434456.9239495,2
"qccuny  ",1,0,28,779700,955968.977103957,2
"qccuny  ",0,1,11,3455690.90909091,1045928.56874124,2
"qccuny  ",1,1,38,2922851.26315789,1204045.69393901,2
"qccuny2 ",0,0,12,705166.666666667,1059293.23207276,2
"qccuny2 ",1,0,25,507120.04,457990.994533051,2
"qccuny2 ",0,1,11,2277272.72727273,1060981.53526903,2
"qccuny2 ",1,1,20,2728750,1372600.17849336,2
"sdsu    ",0,0,21,1133548.9047619,760114.185057213,2
"sdsu    ",1,0,54,595442.092592593,601466.969466721,2
"sdsu    ",0,1,17,3026470.58823529,1211419.31828161,2
"sdsu    ",1,1,58,2919260.84482759,1375629.77015742,2
"swps    ",0,0,5,860000,861249.092887766,2
"swps    ",1,0,19,318631.578947368,210033.650882243,2
"swps    ",0,1,12,3364583.33333333,1376939.05974172,2
"swps    ",1,1,26,3242697,1158447.11119837,2
"swpson  ",0,0,23,1458031.91304348,1139880.83024123,2
"swpson  ",1,0,33,1163056.75757576,1141068.91171746,2
"swpson  ",0,1,22,3682818.13636364,760806.17137239,2
"swpson  ",1,1,48,3219824.3125,1227418.89327674,2
"tamu    ",0,0,30,1178544.03333333,1059226.42092456,2
"tamu    ",1,0,58,962789.672413793,827287.924088046,2
"tamu    ",0,1,19,3464263.15789474,1109709.06307841,2
"tamu    ",1,1,54,3325018.5,1214878.65013629,2
"tamuc   ",0,0,4,1212500,1858931.14450213,2
"tamuc   ",1,0,31,718958.806451613,800463.131175256,2
"tamuc   ",0,1,7,3307142.85714286,1150879.58080931,2
"tamuc   ",1,1,30,3362608.5,1214927.42287347,2
"tamuon  ",0,0,23,1641521.73913043,1186215.75032711,2
"tamuon  ",1,0,72,1010359.44444444,1127153.3672536,2
"tamuon  ",0,1,20,3217229.45,1111835.90679889,2
"tamuon  ",1,1,83,2929164.04819277,1187835.54860053,2
"tilburg ",0,0,7,1228571.42857143,660086.574408453,2
"tilburg ",1,0,14,1026928.57142857,826948.837063623,2
